id	chrom	start	stop	allele	order	decade	count
1_LDB_22288_325786	1	22288	325786	0	1	early	2
1_LDB_22288_325786	1	22288	325786	0	1	middle	9
1_LDB_22288_325786	1	22288	325786	0	1	late	15
1_LDB_22288_325786	1	22288	325786	1	2	early	9
1_LDB_22288_325786	1	22288	325786	1	2	middle	7
1_LDB_22288_325786	1	22288	325786	1	2	late	6
1_LDB_22288_325786	1	22288	325786	2	3	early	0
1_LDB_22288_325786	1	22288	325786	2	3	middle	7
1_LDB_22288_325786	1	22288	325786	2	3	late	5
1_LDB_22288_325786	1	22288	325786	3	4	early	10
1_LDB_22288_325786	1	22288	325786	3	4	middle	2
1_LDB_22288_325786	1	22288	325786	3	4	late	0
1_LDB_22288_325786	1	22288	325786	4	5	early	4
1_LDB_22288_325786	1	22288	325786	4	5	middle	3
1_LDB_22288_325786	1	22288	325786	4	5	late	3
1_LDB_22288_325786	1	22288	325786	5	6	early	5
1_LDB_22288_325786	1	22288	325786	5	6	middle	0
1_LDB_22288_325786	1	22288	325786	5	6	late	0
1_LDB_22288_325786	1	22288	325786	NA	7	early	0
1_LDB_22288_325786	1	22288	325786	NA	7	middle	1
1_LDB_22288_325786	1	22288	325786	NA	7	late	1
1_LDB_331959_400789	1	331959	400789	0	1	early	15
1_LDB_331959_400789	1	331959	400789	0	1	middle	12
1_LDB_331959_400789	1	331959	400789	0	1	late	17
1_LDB_331959_400789	1	331959	400789	1	2	early	9
1_LDB_331959_400789	1	331959	400789	1	2	middle	7
1_LDB_331959_400789	1	331959	400789	1	2	late	6
1_LDB_331959_400789	1	331959	400789	2	3	early	0
1_LDB_331959_400789	1	331959	400789	2	3	middle	7
1_LDB_331959_400789	1	331959	400789	2	3	late	5
1_LDB_331959_400789	1	331959	400789	3	4	early	6
1_LDB_331959_400789	1	331959	400789	3	4	middle	2
1_LDB_331959_400789	1	331959	400789	3	4	late	2
1_LDB_331959_400789	1	331959	400789	NA	5	early	0
1_LDB_331959_400789	1	331959	400789	NA	5	middle	1
1_LDB_331959_400789	1	331959	400789	NA	5	late	0
1_LDB_404591_1077957	1	404591	1077957	2	1	early	28
1_LDB_404591_1077957	1	404591	1077957	2	1	middle	19
1_LDB_404591_1077957	1	404591	1077957	2	1	late	20
1_LDB_404591_1077957	1	404591	1077957	0	2	early	1
1_LDB_404591_1077957	1	404591	1077957	0	2	middle	8
1_LDB_404591_1077957	1	404591	1077957	0	2	late	8
1_LDB_404591_1077957	1	404591	1077957	1	3	early	1
1_LDB_404591_1077957	1	404591	1077957	1	3	middle	2
1_LDB_404591_1077957	1	404591	1077957	1	3	late	2
chr1:1081724	1	1080724	1082724	0	1	early	28
chr1:1081724	1	1080724	1082724	0	1	middle	19
chr1:1081724	1	1080724	1082724	0	1	late	20
chr1:1081724	1	1080724	1082724	1	2	early	2
chr1:1081724	1	1080724	1082724	1	2	middle	9
chr1:1081724	1	1080724	1082724	1	2	late	9
chr1:1081724	1	1080724	1082724	NA	3	early	0
chr1:1081724	1	1080724	1082724	NA	3	middle	1
chr1:1081724	1	1080724	1082724	NA	3	late	1
1_LDB_1088665_1103361	1	1088665	1103361	0	1	early	28
1_LDB_1088665_1103361	1	1088665	1103361	0	1	middle	12
1_LDB_1088665_1103361	1	1088665	1103361	0	1	late	8
1_LDB_1088665_1103361	1	1088665	1103361	1	2	early	2
1_LDB_1088665_1103361	1	1088665	1103361	1	2	middle	16
1_LDB_1088665_1103361	1	1088665	1103361	1	2	late	13
1_LDB_1088665_1103361	1	1088665	1103361	2	3	early	0
1_LDB_1088665_1103361	1	1088665	1103361	2	3	middle	1
1_LDB_1088665_1103361	1	1088665	1103361	2	3	late	8
1_LDB_1088665_1103361	1	1088665	1103361	NA	4	early	0
1_LDB_1088665_1103361	1	1088665	1103361	NA	4	middle	0
1_LDB_1088665_1103361	1	1088665	1103361	NA	4	late	1
chr1:1107547	1	1106547	1108547	0	1	early	26
chr1:1107547	1	1106547	1108547	0	1	middle	11
chr1:1107547	1	1106547	1108547	0	1	late	9
chr1:1107547	1	1106547	1108547	1	2	early	3
chr1:1107547	1	1106547	1108547	1	2	middle	16
chr1:1107547	1	1106547	1108547	1	2	late	15
chr1:1107547	1	1106547	1108547	NA	3	early	1
chr1:1107547	1	1106547	1108547	NA	3	middle	2
chr1:1107547	1	1106547	1108547	NA	3	late	6
chr1:1113519	1	1112519	1114519	0	1	early	25
chr1:1113519	1	1112519	1114519	0	1	middle	28
chr1:1113519	1	1112519	1114519	0	1	late	21
chr1:1113519	1	1112519	1114519	NA	2	early	5
chr1:1113519	1	1112519	1114519	NA	2	middle	1
